iter	Passed	Remaining
198	2713	10920
199	2725	10902
200	2736	10876
201	2747	10854
202	2764	10853
203	2778	10843
204	2793	10831
205	2807	10821
206	2820	10804
207	2833	10789
208	2849	10784
209	2862	10767
210	2874	10748
211	2887	10731
212	2903	10726
213	2915	10709
214	2931	10702
215	2943	10683
216	2955	10666
217	2969	10650
218	2980	10630
219	2994	10616
220	3007	10600
221	3022	10592
222	3035	10576
223	3048	10559
224	3061	10546
225	3075	10532
226	3086	10510
227	3102	10503
228	3117	10495
229	3129	10478
230	3143	10465
231	3156	10450
232	3170	10436
233	3184	10423
234	3199	10414
235	3213	10402
236	3225	10385
237	3238	10367
238	3249	10346
239	3265	10341
240	3285	10347
241	3300	10336
242	3314	10325
243	3328	10313
244	3343	10303
245	3363	10310
246	3379	10303
247	3395	10294
248	3411	10289
249	3425	10275
250	3436	10255
251	3449	10238
252	3464	10228
253	3476	10210
254	3489	10195
255	3503	10182
256	3516	10165
257	3527	10145
258	3539	10127
259	3552	10110
260	3565	10096
261	3579	10082
262	3593	10069
263	3604	10050
264	3617	10034
265	3630	10019
266	3646	10010
267	3660	9997
268	3673	9981
269	3688	9972
270	3702	9960
271	3716	9946
272	3730	9933
273	3743	9919
274	3756	9903
275	3767	9883
276	3785	9880
277	3797	9861
278	3809	9845
279	3826	9838
280	3840	9827
281	3854	9813
282	3867	9798
283	3882	9789
284	3897	9776
285	3910	9762
286	3925	9753
287	3939	9738
288	3953	9725
289	3970	9720
290	3983	9706
291	3996	9689
292	4010	9677
293	4023	9662
294	4036	9646
295	4049	9632
296	4063	9618
297	4074	9597
298	4086	9580
299	4099	9564
300	4113	9553
301	4124	9532
302	4136	9515
303	4147	9496
304	4159	9478
305	4171	9461
306	4184	9445
307	4198	9432
308	4210	9414
309	4222	9398
310	4233	9378
311	4245	9362
312	4257	9343
313	4268	9326
314	4287	9324
315	4302	9312
316	4315	9298
317	4328	9283
318	4340	9265
319	4353	9250
320	4401	9311
321	4415	9296
322	4427	9279
323	4438	9260
324	4451	9245
325	4466	9234
326	4481	9224
327	4497	9214
328	4511	9200
329	4526	9191
330	4542	9180
331	4555	9166
332	4568	9149
333	4581	9135
334	4594	9120
335	4607	9106
336	4623	9095
337	4635	9079
338	4651	9069
339	4662	9050
340	4676	9037
341	4690	9024
342	4703	9009
343	4715	8992
344	4728	8977
345	4738	8957
346	4754	8946
347	4766	8931
348	4782	8920
349	4798	8911
350	4812	8899
351	4826	8885
352	4840	8871
353	4858	8866
354	4872	8853
355	4887	8840
356	4899	8824
357	4920	8824
358	4940	8821
359	4952	8804
360	4964	8788
361	4977	8772
362	4990	8757
363	5004	8744
364	5020	8734
365	5033	8719
366	5045	8702
367	5061	8692
368	5074	8677
369	5089	8666
370	5104	8654
371	5117	8639
372	5129	8621
373	5143	8608
374	5156	8594
375	5170	8580
376	5183	8566
377	5196	8550
378	5207	8533
379	5220	8518
380	5233	8502
381	5246	8487
382	5258	8471
383	5271	8456
384	5285	8443
385	5299	8429
386	5311	8412
387	5325	8400
388	5340	8387
389	5359	8382
390	5372	8367
391	5385	8353
392	5399	8339
393	5415	8329
394	5430	8317
395	5443	8302
396	5459	8291
397	5471	8276
398	5483	8258
399	5494	8242
400	5507	8226
401	5520	8212
402	5533	8196
403	5544	8179
404	5557	8164
405	5569	8148
406	5580	8131
407	5592	8114
408	5606	8101
409	5620	8087
410	5632	8071
411	5645	8056
412	5658	8042
413	5671	8027
414	5683	8012
415	5697	7998
416	5719	7996
417	5732	7982
418	5744	7965
419	5758	7952
420	5771	7938
421	5786	7925
422	5798	7909
423	5810	7893
424	5825	7880
425	5839	7868
426	5851	7852
427	5864	7837
428	5874	7818
429	5886	7803
430	5900	7789
431	5914	7775
432	5927	7762
433	5943	7751
434	5954	7733
435	5969	7721
436	5981	7705
437	5993	7690
438	6007	7676
439	6018	7660
440	6032	7646
441	6045	7631
442	6059	7618
443	6072	7604
444	6088	7593
445	6101	7579
446	6115	7565
447	6128	7551
448	6176	7579
449	6190	7566
450	6206	7554
451	6219	7540
452	6232	7526
453	6246	7512
454	6261	7500
455	6274	7485
456	6289	7472
457	6299	7454
458	6313	7441
459	6326	7426
460	6339	7412
461	6351	7396
462	6364	7382
463	6380	7370
464	6392	7355
465	6404	7338
466	6416	7323
467	6430	7309
468	6441	7293
469	6455	7279
470	6466	7263
471	6478	7247
472	6490	7231
473	6501	7214
474	6516	7201
475	6528	7186
476	6541	7172
477	6554	7157
478	6566	7141
479	6579	7127
480	6591	7112
481	6605	7098
482	6618	7084
483	6638	7077
484	6653	7064
485	6666	7050
486	6691	7049
487	6704	7034
488	6717	7019
489	6730	7004
490	6743	6991
491	6755	6975
492	6767	6959
493	6780	6945
494	6794	6931
495	6808	6918
496	6822	6905
497	6835	6890
498	6847	6874
499	6861	6861
500	6874	6847
501	6889	6834
502	6904	6822
503	6920	6810
504	6930	6793
505	6943	6778
506	6955	6763
507	6968	6749
508	6981	6734
509	6995	6720
510	7011	6709
511	7025	6695
512	7037	6680
513	7050	6666
514	7063	6652
515	7075	6636
516	7089	6623
517	7102	6608
518	7112	6592
519	7126	6578
520	7139	6563
521	7151	6548
522	7162	6532
523	7176	6518
524	7188	6503
525	7201	6489
526	7214	6475
527	7227	6460
528	7240	6446
529	7253	6432
530	7267	6419
531	7280	6404
532	7296	6392
533	7310	6379
534	7324	6366
535	7338	6352
536	7350	6337
537	7363	6322
538	7376	6309
539	7388	6294
540	7400	6278
541	7414	6265
542	7429	6252
543	7442	6238
544	7454	6223
545	7468	6210
546	7480	6195
547	7492	6180
548	7505	6165
549	7519	6152
550	7530	6136
551	7545	6124
552	7555	6107
553	7569	6093
554	7581	6079
555	7593	6064
556	7605	6048
557	7620	6036
558	7632	6021
559	7643	6005
560	7656	5991
561	7668	5976
562	7682	5962
563	7695	5949
564	7709	5935
565	7722	5921
566	7736	5908
567	7749	5893
568	7762	5879
569	7774	5864
570	7789	5852
571	7808	5842
572	7824	5830
573	7838	5817
574	7852	5803
575	7864	5789
576	7909	5798
577	7923	5784
578	7934	5769
579	7946	5754
580	7960	5741
581	7973	5726
582	7989	5714
583	8004	5702
584	8018	5688
585	8030	5673
586	8041	5658
587	8053	5642
588	8067	5629
589	8076	5612
590	8089	5598
591	8101	5583
592	8113	5568
593	8125	5553
594	8137	5538
595	8149	5523
596	8160	5508
597	8173	5494
598	8186	5480
599	8196	5464
600	8210	5450
601	8226	5439
602	8240	5425
603	8256	5413
604	8270	5399
605	8281	5384
606	8294	5370
607	8308	5356
608	8321	5342
609	8334	5328
610	8343	5312
611	8356	5298
612	8370	5284
613	8387	5272
614	8406	5262
615	8419	5248
616	8434	5235
617	8445	5220
618	8457	5205
619	8479	5197
620	8490	5181
621	8503	5167
622	8518	5154
623	8531	5140
624	8544	5126
625	8556	5112
626	8567	5096
627	8581	5083
628	8594	5069
629	8608	5055
630	8626	5044
631	8639	5030
632	8653	5016
633	8664	5001
634	8676	4987
635	8688	4972
636	8699	4957
637	8712	4943
638	8726	4930
639	8741	4916
640	8756	4904
641	8768	4889
642	8780	4874
643	8792	4860
644	8805	4846
645	8818	4832
646	8832	4818
647	8845	4804
648	8858	4790
649	8871	4777
650	8884	4762
651	8899	4749
652	8911	4735
653	8925	4722
654	8947	4712
655	8961	4699
656	8974	4685
657	8986	4670
658	9001	4657
659	9014	4643
660	9028	4630
661	9040	4615
662	9052	4601
663	9064	4586
664	9078	4573
665	9090	4558
666	9102	4544
667	9115	4530
668	9126	4515
669	9139	4501
670	9153	4488
671	9167	4474
672	9180	4460
673	9193	4446
674	9206	4432
675	9219	4418
676	9235	4406
677	9250	4393
678	9264	4379
679	9277	4365
680	9290	4351
681	9306	4339
682	9320	4325
683	9333	4311
684	9345	4297
685	9359	4283
686	9372	4269
687	9384	4255
688	9396	4241
689	9408	4226
690	9419	4212
691	9435	4199
692	9447	4185
693	9463	4172
694	9476	4158
695	9489	4144
696	9500	4130
697	9513	4116
698	9526	4102
699	9537	4087
700	9549	4073
701	9568	4061
702	9581	4047
703	9594	4034
704	9608	4020
705	9652	4019
706	9664	4005
707	9679	3992
708	9690	3977
709	9703	3963
710	9716	3949
711	9727	3934
712	9737	3919
713	9749	3905
714	9762	3891
715	9775	3877
716	9788	3863
717	9801	3849
718	9814	3835
719	9829	3822
720	9840	3807
721	9853	3793
722	9866	3780
723	9878	3765
724	9889	3751
725	9904	3738
726	9919	3724
727	9931	3710
728	9943	3696
729	9955	3682
730	9967	3667
731	9983	3655
732	9996	3641
733	10012	3628
734	10022	3613
735	10035	3599
736	10047	3585
737	10060	3571
738	10070	3556
739	10082	3542
740	10094	3528
741	10106	3514
742	10119	3500
743	10138	3488
744	10150	3474
745	10163	3460
746	10188	3450
747	10199	3436
748	10212	3422
749	10225	3408
750	10238	3394
751	10251	3380
752	10265	3367
753	10277	3353
754	10291	3339
755	10304	3325
756	10318	3312
757	10331	3298
758	10343	3284
759	10356	3270
760	10371	3257
761	10386	3243
762	10398	3229
763	10410	3215
764	10422	3201
765	10435	3187
766	10446	3173
767	10461	3160
768	10474	3146
769	10487	3132
770	10499	3118
771	10513	3105
772	10526	3091
773	10539	3077
774	10553	3064
775	10567	3050
776	10580	3036
777	10594	3023
778	10606	3009
779	10619	2995
780	10634	2982
781	10646	2968
782	10660	2954
783	10671	2940
784	10685	2926
785	10696	2912
786	10709	2898
787	10722	2884
788	10736	2871
789	10749	2857
790	10763	2843
791	10776	2830
792	10801	2819
793	10815	2806
794	10827	2792
795	10840	2778
796	10855	2764
797	10870	2751
798	10882	2737
799	10889	2722
800	10902	2708
801	10916	2695
802	10930	2681
803	10942	2667
804	10955	2653
805	10967	2639
806	10979	2625
807	10992	2612
808	11004	2598
809	11017	2584
810	11029	2570
811	11042	2556
812	11058	2543
813	11066	2528
814	11078	2514
815	11091	2500
816	11103	2487
817	11114	2472
818	11128	2459
819	11142	2445
820	11161	2433
821	11175	2419
822	11188	2406
823	11201	2392
824	11213	2378
825	11226	2364
826	11238	2350
827	11249	2336
828	11264	2323
829	11277	2309
830	11291	2296
831	11302	2282
832	11313	2268
833	11325	2254
834	11343	2241
835	11358	2228
836	11373	2214
837	11387	2201
838	11397	2187
839	11411	2173
840	11425	2160
841	11439	2146
842	11453	2133
843	11466	2119
844	11481	2106
845	11494	2092
846	11504	2078
847	11518	2064
848	11530	2050
849	11545	2037
850	11556	2023
851	11569	2009
852	11582	1996
853	11594	1982
854	11608	1968
855	11620	1954
856	11632	1941
857	11647	1927
858	11659	1913
859	11671	1900
860	11684	1886
861	11696	1872
862	11708	1858
863	11720	1844
864	11732	1831
865	11745	1817
866	11757	1803
867	11768	1789
868	11780	1775
869	11792	1762
870	11803	1748
871	11815	1734
872	11830	1720
873	11844	1707
874	11859	1694
875	11872	1680
876	11885	1667
877	11939	1659
878	11950	1645
879	11962	1631
880	11974	1617
881	11990	1604
882	12002	1590
883	12015	1576
884	12029	1563
885	12043	1549
886	12056	1535
887	12069	1522
888	12081	1508
889	12093	1494
890	12106	1481
891	12117	1467
892	12133	1453
893	12146	1440
894	12158	1426
895	12170	1412
896	12180	1398
897	12192	1384
898	12203	1371
899	12218	1357
900	12230	1343
901	12245	1330
902	12257	1316
903	12268	1302
904	12282	1289
905	12293	1275
906	12306	1261
907	12319	1248
908	12333	1234
909	12345	1220
910	12360	1207
911	12375	1194
912	12390	1180
913	12401	1166
914	12416	1153
915	12428	1139
916	12449	1126
917	12475	1114
918	12488	1100
919	12500	1087
920	12514	1073
921	12527	1059
922	12539	1046
923	12551	1032
924	12565	1018
925	12578	1005
926	12591	991
927	12603	977
928	12616	964
929	12629	950
930	12642	936
931	12654	923
932	12666	909
933	12679	895
934	12690	882
935	12701	868
936	12713	854
937	12725	841
938	12737	827
939	12750	813
940	12761	800
941	12774	786
942	12786	772
943	12798	759
944	12811	745
945	12823	732
946	12837	718
947	12852	704
948	12864	691
949	12873	677
950	12888	664
951	12900	650
952	12912	636
953	12925	623
954	12939	609
955	12951	596
956	12962	582
957	12974	568
958	12987	555
959	12999	541
960	13020	528
961	13032	514
962	13046	501
963	13058	487
964	13073	474
965	13084	460
966	13098	446
967	13111	433
968	13123	419
969	13134	406
970	13148	392
971	13161	379
972	13173	365
973	13185	351
974	13198	338
975	13211	324
976	13225	311
977	13242	297
978	13258	284
979	13271	270
980	13284	257
981	13299	243
982	13312	230
983	13325	216
984	13339	203
985	13351	189
986	13364	176
987	13378	162
988	13391	148
989	13405	135
990	13420	121
991	13434	108
992	13451	94
993	13465	81
994	13480	67
995	13490	54
996	13503	40
997	13516	27
998	13528	13
999	13540	0
